i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
1164,3041,pop_4_op_e1_n9_251005_013931,pop_7_op_e2_n19_251008_083110,0.011997272,0.0
1368,1417,pop_6_op_m2_n14_251005_063028,pop_7_op_e2_n4_251005_072556,0.0025426135,0.93294
3235,4431,pop_9_op_m2_n15_251008_132009,pop_4_op_m1_n14_251023_152118,0.012649377,0.5145099
10,2109,pop_0_op_e1_n19_251004_190649,pop_14_op_m1_n3_251009_010748,0.009633494,0.24489999
733,741,pop_17_op_m2_n0_251006_024659,pop_17_op_m2_n17_251006_024659,0.0020329317,0.13487995
361,4676,pop_13_op_e1_n14_251005_172726,pop_7_op_m1_n4_251023_201120,0.0176776,1.7917
3467,4437,pop_11_op_e2_n15_251024_021136,pop_4_op_m1_n1_251023_152118,0.03195426,0.32962
240,2144,pop_11_op_m1_n13_251005_144822,pop_15_op_e1_n17_251009_021028,0.01375781,1.05404
55,4384,pop_0_op_i1_n16_251004_184152,pop_3_op_m2_n8_251022_150641,0.016775724,0.83892
3602,4602,pop_13_op_e1_n10_251024_045717,pop_6_op_m1_n8_251023_183346,0.010633801,0.93808
3186,4027,pop_9_op_e1_n6_251008_115314,pop_18_op_e2_n8_251024_131504,0.017382413,1.5996001
1238,3491,pop_5_op_e1_n3_251005_032637,pop_11_op_m1_n19_251024_023315,0.028122423,1.57775
792,3066,pop_18_op_m1_n11_251006_040930,pop_7_op_m1_n5_251008_085951,0.016418409,0.07607007
2614,4250,pop_1_op_m2_n9_251007_222155,pop_2_op_e2_n13_251020_044528,0.008424623,0.13948011
876,3012,pop_19_op_m1_n17_251006_055659,pop_7_op_e1_n10_251008_080228,0.016179724,1.40501
2773,2994,pop_4_op_e1_n11_251008_022932,pop_6_op_m2_n12_251008_073409,0.010126516,0.50909996
2715,3105,pop_3_op_e2_n13_251008_010745,pop_8_op_e1_n4_251008_095853,0.014409927,0.14690995
1062,2497,pop_2_op_m2_n6_251004_233101,pop_19_op_m1_n10_251009_112827,0.0324562,0.73193
1823,3354,pop_11_op_e1_n16_251008_164953,pop_0_op_m2_n17_251018_025242,0.030168856,0.59886
253,2558,pop_11_op_m1_n7_251005_144822,pop_1_op_e2_n12_251007_213131,0.014211338,1.02041
80,2289,pop_0_op_m1_n11_251004_194723,pop_16_op_m2_n3_251009_054828,0.024422519,0.86387
171,3289,pop_10_op_m1_n5_251005_130233,pop_0_op_i1_n0_251016_142943,0.04384747,0.15675998
1500,4654,pop_8_op_e2_n8_251005_091107,pop_7_op_e2_n1_251023_194652,0.040454626,0.24444008
2612,4417,pop_1_op_m2_n7_251007_222155,pop_4_op_e2_n1_251023_063208,0.018188527,0.37229002
2844,4631,pop_4_op_m2_n3_251008_035253,pop_7_op_e1_n16_251023_192250,0.014725056,0.018630028
