app_type,group_id,objective_bin,main_heuristic_id,main_strategy,main_objective,main_obj_rank,main_obj_percentile,main_is_good_top10pct,neighbor_rank,neighbor_heuristic_id,neighbor_strategy,neighbor_objective,ast_cosine_sim,neighbor_obj_diff,neighbor_is_better_than_main
bin_greedy,10,high,pop_1_op_m1_n17_251225_023309,m1,0.30033,3037,0.68324,False,3,pop_15_op_e1_n8_251225_063845,e1,0.22437,0.9981303042099486,-0.07595999999999997,True
bin_greedy,10,high,pop_1_op_m1_n17_251225_023309,m1,0.30033,3037,0.68324,False,4,pop_5_op_m2_n8_251225_034132,m2,0.02435,0.9980618911444653,-0.27598,True
bin_greedy,10,high,pop_1_op_m1_n17_251225_023309,m1,0.30033,3037,0.68324,False,5,pop_9_op_e2_n14_251225_044740,e2,0.04266,0.9980145778150596,-0.25767,True
cvrp_lns,1,low,pop_17_op_m2_n13_251228_014656,m2,3405423.7,90,0.057803,True,1,pop_16_op_m1_n2_251227_212615,m1,3360746.7,1.0,-44677.0,True
cvrp_lns,1,low,pop_17_op_m2_n13_251228_014656,m2,3405423.7,90,0.057803,True,2,pop_16_op_m2_n16_251227_221945,m2,3367718.6,1.0,-37705.10000000009,True
cvrp_lns,1,low,pop_17_op_m2_n13_251228_014656,m2,3405423.7,90,0.057803,True,3,pop_19_op_m2_n12_251228_083956,m2,3376936.4,1.0,-28487.30000000028,True
cvrp_lns,1,low,pop_17_op_m2_n13_251228_014656,m2,3405423.7,90,0.057803,True,4,pop_19_op_m2_n2_251228_083956,m2,3375819.9,1.0,-29603.80000000028,True
cvrp_lns,1,low,pop_17_op_m2_n13_251228_014656,m2,3405423.7,90,0.057803,True,5,pop_17_op_m2_n16_251228_014656,m2,3358167.9,1.0,-47255.80000000028,True
cvrp_lns,2,mid,pop_4_op_m1_n7_251226_051356,m1,3581952.6,529,0.339756,False,1,pop_15_op_m1_n1_251227_180037,m1,3478131.7,0.999719838787487,-103820.8999999999,True
cvrp_lns,2,mid,pop_4_op_m1_n7_251226_051356,m1,3581952.6,529,0.339756,False,2,pop_7_op_e1_n5_251226_131453,e1,3727023.3,0.9996829146831786,145070.69999999972,False
cvrp_lns,2,mid,pop_4_op_m1_n7_251226_051356,m1,3581952.6,529,0.339756,False,3,pop_7_op_e1_n4_251226_131453,e1,3700669.8,0.9996142229588247,118717.19999999972,False
cvrp_lns,2,mid,pop_4_op_m1_n7_251226_051356,m1,3581952.6,529,0.339756,False,4,pop_11_op_e2_n17_251227_033505,e2,3544051.6,0.9996008812819901,-37901.0,True
cvrp_lns,2,mid,pop_4_op_m1_n7_251226_051356,m1,3581952.6,529,0.339756,False,5,pop_12_op_e2_n4_251227_065610,e2,3595447.6,0.9995862030636314,13495.0,False
cvrp_lns,3,low,pop_4_op_m1_n6_251226_051356,m1,3570590.5,499,0.320488,False,1,pop_2_op_m1_n12_251225_230458,m1,3526693.1,0.9999792427765043,-43897.39999999991,True
cvrp_lns,3,low,pop_4_op_m1_n6_251226_051356,m1,3570590.5,499,0.320488,False,2,pop_4_op_m2_n2_251226_055944,m2,3561114.3,0.9999792427765043,-9476.200000000186,True
cvrp_lns,3,low,pop_4_op_m1_n6_251226_051356,m1,3570590.5,499,0.320488,False,3,pop_2_op_m2_n4_251225_235254,m2,3562910.3,0.999949689454671,-7680.200000000186,True
cvrp_lns,3,low,pop_4_op_m1_n6_251226_051356,m1,3570590.5,499,0.320488,False,4,pop_3_op_m2_n14_251226_025640,m2,3682957.1,0.9998804255186774,112366.6000000001,False
cvrp_lns,3,low,pop_4_op_m1_n6_251226_051356,m1,3570590.5,499,0.320488,False,5,pop_3_op_m1_n18_251226_020829,m1,3551329.1,0.999876396555285,-19261.399999999907,True
cvrp_lns,4,low,pop_19_op_e2_n12_251228_065631,e2,3466336.2,227,0.145793,False,1,pop_16_op_m1_n14_251227_212615,m1,3493577.6,0.999643797419734,27241.399999999907,False
cvrp_lns,4,low,pop_19_op_e2_n12_251228_065631,e2,3466336.2,227,0.145793,False,2,pop_19_op_e2_n14_251228_065631,e2,3367407.1,0.9996191752670427,-98929.1000000001,True
cvrp_lns,4,low,pop_19_op_e2_n12_251228_065631,e2,3466336.2,227,0.145793,False,3,pop_17_op_m2_n17_251228_014656,m2,3414770.9,0.9994835354524717,-51565.30000000028,True
cvrp_lns,4,low,pop_19_op_e2_n12_251228_065631,e2,3466336.2,227,0.145793,False,4,pop_15_op_m1_n14_251227_180037,m1,3628066.1,0.9994725940501495,161729.8999999999,False
