app_type,group_id,objective_bin,main_heuristic_id,main_strategy,main_objective,main_obj_rank,main_obj_percentile,main_is_good_top10pct,neighbor_rank,neighbor_heuristic_id,neighbor_strategy,neighbor_objective,ast_cosine_sim,neighbor_obj_diff,neighbor_is_better_than_main,cb_d_sim,codebleu_score,cb_d_perf
bin_greedy,8,high,pop_0_op_i1_n12_251225_020644,i1,1.51534,4279,0.962655,False,2,pop_1_op_m1_n7_251224_194832,m1,0.03984,0.991521782819117,-1.4754999999999998,True,0.6865667657037406,0.31343323429625936,1.4754999999999998
bin_greedy,8,high,pop_0_op_i1_n12_251225_020644,i1,1.51534,4279,0.962655,False,3,pop_1_op_e2_n19_251224_194452,e2,0.06258,0.9909033354257432,-1.4527599999999998,True,0.6806461354396675,0.31935386456033255,1.4527599999999998
bin_greedy,8,high,pop_0_op_i1_n12_251225_020644,i1,1.51534,4279,0.962655,False,4,pop_0_op_i1_n15_251224_192433,i1,0.03984,0.9908664908313444,-1.4754999999999998,True,0.5313148652983908,0.4686851347016092,1.4754999999999998
bin_greedy,8,high,pop_0_op_i1_n12_251225_020644,i1,1.51534,4279,0.962655,False,5,pop_0_op_e1_n12_251224_134701,e1,0.05815,0.990788137300376,-1.45719,True,0.6021639241855462,0.3978360758144538,1.45719
bin_greedy,9,low,pop_19_op_m2_n16_251225_020114,m2,0.01006,153,0.034421,True,1,pop_4_op_e2_n2_251224_203033,e2,0.33927,0.9992616004118736,0.32921,False,0.5228437603273934,0.47715623967260656,0.32921
bin_greedy,9,low,pop_19_op_m2_n16_251225_020114,m2,0.01006,153,0.034421,True,2,pop_9_op_e1_n18_251224_220604,e1,0.03974,0.9990758000711736,0.0296799999999999,False,0.3345761164779061,0.6654238835220939,0.029679999999999998
bin_greedy,9,low,pop_19_op_m2_n16_251225_020114,m2,0.01006,153,0.034421,True,3,pop_19_op_m1_n19_251225_015609,m1,0.04115,0.9989771459059228,0.03109,False,0.37493326891018564,0.6250667310898144,0.03109
bin_greedy,9,low,pop_19_op_m2_n16_251225_020114,m2,0.01006,153,0.034421,True,4,pop_8_op_e1_n14_251224_214409,e1,0.04286,0.9989410742248064,0.0328,False,0.4525986158067179,0.5474013841932821,0.0328
bin_greedy,9,low,pop_19_op_m2_n16_251225_020114,m2,0.01006,153,0.034421,True,5,pop_15_op_m1_n13_251225_002824,m1,0.13814,0.9985179918629924,0.12808,False,0.45706755076500716,0.5429324492349928,0.12808000000000003
bin_greedy,10,high,pop_1_op_m1_n17_251225_023309,m1,0.30033,3037,0.68324,False,1,pop_16_op_e2_n4_251225_070340,e2,0.03984,0.9983398280668536,-0.26049,True,0.44279367599316954,0.5572063240068305,0.26049
bin_greedy,10,high,pop_1_op_m1_n17_251225_023309,m1,0.30033,3037,0.68324,False,2,pop_13_op_e1_n4_251225_055930,e1,1.17416,0.9982702032419616,0.8738300000000001,False,0.5592058560022495,0.4407941439977505,0.8738300000000001
bin_greedy,10,high,pop_1_op_m1_n17_251225_023309,m1,0.30033,3037,0.68324,False,3,pop_15_op_e1_n8_251225_063845,e1,0.22437,0.9981303042099486,-0.0759599999999999,True,0.500264949834692,0.49973505016530795,0.07595999999999997
bin_greedy,10,high,pop_1_op_m1_n17_251225_023309,m1,0.30033,3037,0.68324,False,4,pop_5_op_m2_n8_251225_034132,m2,0.02435,0.9980618911444652,-0.27598,True,0.3963422262525895,0.6036577737474105,0.27598
bin_greedy,10,high,pop_1_op_m1_n17_251225_023309,m1,0.30033,3037,0.68324,False,5,pop_9_op_e2_n14_251225_044740,e2,0.04266,0.9980145778150596,-0.25767,True,0.5293412404197205,0.4706587595802795,0.25767
cvrp_lns,1,low,pop_17_op_m2_n13_251228_014656,m2,3405423.7,90,0.057803,True,1,pop_16_op_m1_n2_251227_212615,m1,3360746.7,1.0,-44677.0,True,0.03587952814620854,0.9641204718537915,44677.0
cvrp_lns,1,low,pop_17_op_m2_n13_251228_014656,m2,3405423.7,90,0.057803,True,2,pop_16_op_m2_n16_251227_221945,m2,3367718.6,1.0,-37705.10000000009,True,0.0807575788378515,0.9192424211621485,37705.10000000009
cvrp_lns,1,low,pop_17_op_m2_n13_251228_014656,m2,3405423.7,90,0.057803,True,3,pop_19_op_m2_n12_251228_083956,m2,3376936.4,1.0,-28487.30000000028,True,0.03984379913320113,0.9601562008667989,28487.30000000028
cvrp_lns,1,low,pop_17_op_m2_n13_251228_014656,m2,3405423.7,90,0.057803,True,4,pop_19_op_m2_n2_251228_083956,m2,3375819.9,1.0,-29603.80000000028,True,0.05125117463983808,0.9487488253601619,29603.80000000028
cvrp_lns,1,low,pop_17_op_m2_n13_251228_014656,m2,3405423.7,90,0.057803,True,5,pop_17_op_m2_n16_251228_014656,m2,3358167.9,1.0,-47255.80000000028,True,0.04560418709317171,0.9543958129068283,47255.80000000028
