i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
1909,4093,pop_13_op_e1_n7_250821_215840,pop_2_op_m2_n12_250825_122724,0.8563458,7.4762297
1514,3373,pop_9_op_e2_n5_250818_085443,pop_11_op_m2_n9_250825_195041,0.9492512,0.05546999
4196,4208,pop_4_op_e1_n1_250825_133210,pop_4_op_e2_n12_250825_134525,0.43936908,2.9994702
513,1721,pop_15_op_e1_n9_250819_070658,pop_10_op_m1_n7_250821_200217,0.85777056,1.1001201
354,3053,pop_13_op_e1_n6_250818_234141,pop_9_op_e2_n19_250821_190214,0.92957443,0.045569986
2182,4644,pop_16_op_m2_n17_250822_004123,pop_9_op_m2_n7_250825_175959,0.8348743,3.07547
2489,3697,pop_1_op_m2_n1_250821_140257,pop_16_op_e1_n9_251114_103613,0.7425523,0.3712
880,4376,pop_1_op_e1_n10_250815_173701,pop_6_op_m1_n0_250825_151929,0.9262875,0.039789975
1618,2151,pop_0_op_i1_n5_250821_114751,pop_16_op_e2_n5_250822_002000,0.88398975,10.41447
603,4166,pop_16_op_e2_n6_250819_115329,pop_3_op_m2_n0_250825_132000,0.8766983,8.36047
3190,4362,pop_0_op_m1_n1_250825_104303,pop_6_op_e2_n14_250825_151150,0.80400807,8.34418
2210,2891,pop_17_op_e1_n7_250822_005416,pop_7_op_e2_n0_250821_173739,0.7264137,2.23629
1534,3274,pop_9_op_m1_n5_250818_104712,pop_10_op_m1_n6_250825_184151,0.90458804,9.30489
1054,2429,pop_3_op_e2_n1_250816_111346,pop_1_op_e1_n16_250821_132746,0.9105974,0.18631
1472,2623,pop_8_op_m2_n1_250818_071502,pop_3_op_m1_n19_250821_150204,0.927307,4.9672003
2492,3112,pop_1_op_m2_n4_250821_140257,pop_0_op_e1_n1_250825_101251,0.7402356,3.7291102
4369,4472,pop_6_op_e2_n3_250825_151150,pop_7_op_m1_n9_250825_160319,0.6871512,8.35971
69,2031,pop_0_op_i1_n9_250815_103638,pop_14_op_m2_n1_250821_231254,0.8785175,7.27694
746,953,pop_18_op_e2_n16_250819_193750,pop_1_op_m2_n9_250815_222812,0.4761895,0.22651
2321,3869,pop_18_op_m1_n3_250822_030838,pop_18_op_m2_n10_251114_124328,0.82774514,0.17492001
1577,2926,pop_0_op_e2_n14_250821_124235,pop_7_op_m1_n5_250821_175151,0.8592823,10.3170595
2898,3254,pop_7_op_e2_n16_250821_173739,pop_10_op_e2_n6_250825_182734,0.6786121,4.84998
451,1675,pop_14_op_e2_n4_250819_041931,pop_10_op_e1_n17_250821_193729,0.7831449,6.56956
1451,3061,pop_8_op_m1_n16_250818_061806,pop_9_op_e2_n8_250821_190214,0.8852515,7.2714
494,3568,pop_14_op_m2_n7_250819_061049,pop_14_op_m1_n0_250825_223750,0.89230555,3.90324
1543,3867,pop_9_op_m2_n13_250818_113900,pop_18_op_m1_n9_251114_123555,0.9159218,0.16029
2022,3219,pop_14_op_m2_n11_250821_231254,pop_10_op_e1_n0_250825_181006,0.81172264,3.24297
2190,3739,pop_16_op_m2_n6_250822_004123,pop_16_op_m2_n2_251114_111710,0.8149572,0.7451
3316,3911,pop_11_op_e2_n0_250825_192131,pop_19_op_e2_n17_251114_131104,0.66217744,1.125
1800,2956,pop_11_op_m2_n11_250821_205841,pop_8_op_e1_n14_250821_181016,0.7978171,0.34223002
