i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
1655,2852,pop_0_op_e2_n5_251007_194925,pop_5_op_e1_n10_251008_041943,0.42743018,0.6831101
1265,4676,pop_5_op_m1_n10_251005_041917,pop_7_op_m1_n4_251023_201120,0.7493344,0.99719
2507,3407,pop_19_op_m1_n1_251009_112827,pop_10_op_m1_n13_251024_010057,0.5575823,1.88992
1306,4431,pop_6_op_e1_n11_251005_051231,pop_4_op_m1_n14_251023_152118,0.659356,0.17313981
525,4543,pop_15_op_e1_n19_251005_215714,pop_5_op_m2_n8_251023_172151,0.6305744,1.1765901
704,1500,pop_17_op_e2_n1_251006_015345,pop_8_op_e2_n8_251005_091107,0.6673874,0.09309006
238,2274,pop_11_op_m1_n11_251005_144822,pop_16_op_m1_n8_251009_051647,0.78047454,0.59708
744,4735,pop_17_op_m2_n1_251006_024659,pop_8_op_e2_n4_251023_212218,0.73351324,0.65791
3404,3810,pop_10_op_m1_n10_251024_010057,pop_15_op_m1_n4_251024_085518,0.28556,0.96708
1173,4350,pop_4_op_e2_n17_251005_020604,pop_3_op_m1_n13_251022_062215,0.80215675,0.61320996
2012,3977,pop_13_op_e2_n6_251008_223001,pop_17_op_m2_n15_251024_122850,0.68752545,0.9493
497,3512,pop_14_op_m2_n11_251005_212934,pop_11_op_m2_n1_251024_025715,0.69587344,0.018350005
1315,4652,pop_6_op_e1_n2_251005_051231,pop_7_op_e2_n18_251023_194652,0.76188374,0.21333003
1652,2788,pop_0_op_e2_n2_251007_194925,pop_4_op_e1_n7_251008_022932,0.5403549,0.59886
561,1316,pop_15_op_m1_n15_251005_224832,pop_6_op_e1_n3_251005_051231,0.2966646,1.1884199
2576,3385,pop_1_op_m1_n10_251007_215716,pop_10_op_e2_n0_251024_003548,0.5510138,0.0
165,3331,pop_10_op_m1_n17_251005_130233,pop_0_op_m1_n14_251017_184642,0.61997896,0.65081
2980,3128,pop_6_op_m1_n18_251008_070651,pop_8_op_e2_n7_251008_102531,0.57719225,0.39628005
223,2791,pop_11_op_e2_n16_251005_142132,pop_4_op_e2_n0_251008_025747,0.70559806,1.06389
2894,3433,pop_5_op_m1_n12_251008_051436,pop_10_op_m2_n1_251024_012452,0.8380575,1.67014
95,4434,pop_0_op_m1_n7_251004_194723,pop_4_op_m1_n17_251023_152118,0.41577965,0.40580988
3820,4399,pop_15_op_m2_n13_251024_091905,pop_4_op_e1_n3_251022_222736,0.56623167,1.1379299
1261,4284,pop_5_op_e2_n6_251005_035236,pop_2_op_m1_n8_251020_162331,0.7869628,1.34194
2737,2777,pop_3_op_m1_n15_251008_013345,pop_4_op_e1_n15_251008_022932,0.4728825,0.33190012
3138,3898,pop_8_op_m1_n16_251008_105355,pop_16_op_m2_n12_251024_105213,0.71306276,1.45749
329,4134,pop_12_op_m1_n3_251005_163256,pop_19_op_m2_n17_251024_153447,0.55095804,0.17910004
3124,4247,pop_8_op_e2_n3_251008_102531,pop_2_op_e2_n10_251020_044528,0.74788046,1.69496
411,1315,pop_13_op_m1_n6_251005_191524,pop_6_op_e1_n2_251005_051231,0.62833256,0.63929
1273,2111,pop_5_op_m1_n18_251005_041917,pop_14_op_m1_n5_251009_010748,0.68434274,0.8664601
3440,4172,pop_10_op_m2_n8_251024_012452,pop_1_op_e2_n15_251018_185448,0.6180563,0.66227996
358,4561,pop_13_op_e1_n11_251005_172726,pop_6_op_e1_n6_251023_174530,0.7320596,0.65355
2400,2866,pop_18_op_e2_n13_251009_085040,pop_5_op_e1_n5_251008_041943,0.7096264,1.36952
2465,2626,pop_19_op_e1_n18_251009_102606,pop_2_op_e1_n1_251007_224815,0.65890455,0.0
1083,2664,pop_3_op_e1_n7_251004_235708,pop_2_op_m1_n1_251007_234356,0.6957687,0.15135002
1414,1671,pop_7_op_e2_n1_251005_072556,pop_0_op_i1_n15_251007_183925,0.560603,0.32413995
2898,4749,pop_5_op_m1_n16_251008_051436,pop_8_op_m1_n18_251023_214610,0.70775676,1.42022
2893,4668,pop_5_op_m1_n11_251008_051436,pop_7_op_m1_n15_251023_201120,0.42795265,0.32704997
1858,4565,pop_11_op_m1_n11_251008_175342,pop_6_op_e2_n0_251023_180930,0.6304964,0.25672984
2289,3755,pop_16_op_m2_n3_251009_054828,pop_14_op_m2_n6_251024_074310,0.48912573,0.5061201
3759,4108,pop_15_op_e1_n0_251024_080734,pop_19_op_m1_n11_251024_151104,0.26788926,1.2333801
3011,4133,pop_7_op_e1_n0_251008_080228,pop_19_op_m2_n16_251024_153447,0.6125335,0.6818299
3514,4428,pop_11_op_m2_n3_251024_025715,pop_4_op_m1_n11_251023_152118,0.6717473,0.5145099
1587,4476,pop_9_op_m1_n16_251005_112005,pop_5_op_e1_n19_251023_161129,0.8203602,0.39625
1856,3470,pop_11_op_m1_n0_251008_175342,pop_11_op_e2_n18_251024_021136,0.72843647,1.51052
196,4742,pop_11_op_e1_n0_251005_135625,pop_8_op_m1_n10_251023_214610,0.7121466,0.65838003
1106,3474,pop_3_op_m1_n0_251005_004701,pop_11_op_e2_n3_251024_021136,0.6962893,0.25333
672,4065,pop_16_op_m2_n8_251006_005907,pop_18_op_m2_n6_251024_140109,0.66133773,0.86794996
888,4325,pop_19_op_m2_n0_251006_062500,pop_3_op_e1_n9_251021_090929,0.8499669,0.9435899
1498,4777,pop_8_op_e2_n6_251005_091107,pop_8_op_m2_n7_251023_221032,0.83470434,1.3165799
2892,4244,pop_5_op_m1_n10_251008_051436,pop_2_op_e1_n8_251019_195005,0.8307349,0.94421005
1838,3450,pop_11_op_e2_n11_251008_172005,pop_11_op_e1_n17_251024_014855,0.5755967,0.08477008
4015,4698,pop_18_op_e2_n15_251024_131504,pop_7_op_m2_n6_251023_203511,0.4254114,0.24142003
1847,3957,pop_11_op_e2_n1_251008_172005,pop_17_op_m1_n15_251024_120509,0.53917295,0.52989
579,4765,pop_15_op_m2_n13_251005_231357,pop_8_op_m2_n14_251023_221032,0.5883252,0.73269
2470,4295,pop_19_op_e1_n4_251009_102606,pop_2_op_m2_n18_251021_020748,0.6776574,0.47265005
3070,4120,pop_7_op_m1_n9_251008_085951,pop_19_op_m1_n4_251024_151104,0.79771864,0.18461001
