i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
1408,2509,pop_8_op_m2_n4_251224_161520,pop_3_op_m1_n16_251224_201815,0.815534,0.48073
2383,2977,pop_1_op_m2_n15_251224_195142,pop_9_op_m2_n3_251224_222110,0.6111111,0.27608
4179,4278,pop_6_op_e2_n14_251225_034959,pop_7_op_m1_n8_251225_041334,0.47,0.42902
66,1943,pop_0_op_i1_n9_251224_134528,pop_14_op_m2_n13_251225_001033,0.775,0.0076400023
714,911,pop_18_op_e1_n0_251224_184830,pop_1_op_m1_n15_251224_140446,0.7093023,0.00090000033
2220,3701,pop_18_op_m1_n4_251225_013420,pop_18_op_e2_n9_251225_073846,0.7777778,0.28524
1508,2799,pop_0_op_e2_n13_251224_193258,pop_7_op_m1_n11_251224_213407,0.7933884,1.49019
2772,3112,pop_7_op_e1_n19_251224_212213,pop_10_op_e2_n16_251225_050712,0.73913044,0.29540002
432,1602,pop_14_op_e2_n12_251224_174130,pop_10_op_e1_n16_251224_222545,0.82165605,0.0051299985
1388,2927,pop_8_op_m1_n2_251224_161205,pop_9_op_e1_n9_251224_220604,0.83838385,0.004830003
472,3413,pop_14_op_m2_n14_251224_174931,pop_14_op_e2_n2_251225_062408,0.7083333,0.27025
1476,3699,pop_9_op_m2_n19_251224_162951,pop_18_op_e2_n7_251225_073846,0.8103448,0.55316997
1934,3079,pop_14_op_m1_n5_251225_000514,pop_0_op_m2_n18_251225_022052,0.7647059,0.028979998
2094,3577,pop_16_op_m2_n1_251225_005606,pop_16_op_m1_n12_251225_070858,0.7565789,1.48003
3172,3741,pop_11_op_e1_n2_251225_052112,pop_19_op_e1_n13_251225_075247,0.6969697,0.69454
1722,2828,pop_11_op_m2_n0_251224_230524,pop_7_op_m2_n1_251224_213900,0.23529412,0.01872
1460,3991,pop_9_op_m1_n3_251224_162633,pop_3_op_m1_n3_251225_030303,0.83760685,0.009359999
1281,1903,pop_7_op_e1_n12_251224_155243,pop_14_op_e2_n10_251224_235922,0.86567163,0.86267
1064,4288,pop_3_op_m1_n17_251224_143102,pop_7_op_m2_n17_251225_041803,0.86238533,0.10997
3033,4276,pop_0_op_i1_n17_251225_020904,pop_7_op_m1_n6_251225_041334,0.6810345,0.04467
158,2830,pop_10_op_m1_n6_251224_164130,pop_7_op_m2_n3_251224_213900,0.84671533,0.01751
621,3135,pop_16_op_m2_n13_251224_182728,pop_10_op_m1_n4_251225_051224,0.7876712,0.83379
2182,3701,pop_18_op_e1_n14_251225_012310,pop_18_op_e2_n9_251225_073846,0.7798742,0.28533998
5,888,pop_0_op_e1_n14_251224_134701,pop_1_op_e2_n10_251224_140121,0.75555557,0.019919999
2818,3577,pop_7_op_m2_n10_251224_213900,pop_16_op_m1_n12_251225_070858,0.7446808,1.46665
32,103,pop_0_op_e2_n5_251224_134950,pop_0_op_m2_n7_251224_135519,0.75268817,0.030789997
1417,3541,pop_9_op_e1_n13_251224_161900,pop_16_op_e1_n13_251225_065826,0.7692308,0.061069995
3068,3497,pop_0_op_m1_n7_251225_021752,pop_15_op_e2_n7_251225_064411,0.75609756,0.016699998
3468,3612,pop_15_op_e1_n16_251225_063845,pop_17_op_e1_n17_251225_071627,0.6948052,0.68276
1834,2955,pop_13_op_e2_n17_251224_233730,pop_9_op_m1_n1_251224_221631,0.5,0.13201001
2096,3594,pop_16_op_m2_n3_251225_005606,pop_16_op_m2_n15_251225_071226,0.80714285,0.0018099993
3134,3731,pop_10_op_m1_n3_251225_051224,pop_18_op_m2_n3_251225_074825,0.4090909,0.73388
1231,1989,pop_6_op_e2_n18_251224_154252,pop_15_op_e2_n6_251225_002222,0.8245614,0.00020000339
769,3470,pop_18_op_m1_n8_251224_185705,pop_15_op_e1_n18_251225_063845,0.7291667,0.74483997
2469,2930,pop_3_op_e1_n11_251224_200916,pop_9_op_e2_n11_251224_221118,0.7794118,0.59392995
61,2039,pop_0_op_i1_n7_251224_134318,pop_16_op_e1_n16_251225_003913,0.79591835,1.10735
2247,3970,pop_19_op_e1_n11_251225_014412,pop_3_op_e2_n18_251225_025848,0.792,0.09538007
1725,2528,pop_11_op_m2_n12_251224_230524,pop_3_op_m2_n15_251224_202201,0.74603176,0.09337
165,3378,pop_10_op_m2_n12_251224_164454,pop_13_op_m2_n3_251225_061422,0.70666665,0.09227
621,3271,pop_16_op_m2_n13_251224_182728,pop_12_op_e2_n9_251225_054527,0.7785235,0.84466
1091,2101,pop_3_op_m2_n6_251224_143354,pop_16_op_m2_n8_251225_005606,0.83064514,0.0015100017
509,4319,pop_15_op_e2_n15_251224_175832,pop_8_op_e2_n13_251225_042810,0.80136985,0.029179998
1954,3539,pop_14_op_m2_n5_251225_001033,pop_16_op_e1_n11_251225_065826,0.7804878,0.023850001
2971,3927,pop_9_op_m2_n16_251224_222110,pop_2_op_m1_n4_251225_024720,0.7745098,0.013280001
417,2908,pop_14_op_e1_n13_251224_173716,pop_8_op_m2_n7_251224_220122,0.7902098,0.0021100007
2094,2151,pop_16_op_m2_n1_251225_005606,pop_17_op_m1_n4_251225_011255,0.28333333,0.58376
3800,4231,pop_19_op_m2_n15_251225_080724,pop_7_op_e1_n10_251225_040312,0.43965518,0.0027200002
2512,3612,pop_3_op_m1_n19_251224_201815,pop_17_op_e1_n17_251225_071627,0.8347107,0.19217001
352,2018,pop_13_op_e1_n7_251224_172042,pop_15_op_m2_n15_251225_003358,0.80794704,0.69061
312,3400,pop_12_op_m1_n5_251224_171244,pop_14_op_e1_n9_251225_061852,0.7419355,0.29228002
1254,2554,pop_6_op_m1_n5_251224_154608,pop_4_op_e1_n3_251224_202609,0.74444443,1.2500299
2543,2821,pop_4_op_e1_n10_251224_202609,pop_7_op_m2_n13_251224_213900,0.5857143,0.85712004
2513,2853,pop_3_op_m1_n1_251224_201815,pop_8_op_e1_n7_251224_214409,0.5,1.47882
2460,4108,pop_2_op_m2_n3_251224_200551,pop_5_op_e2_n12_251225_033249,0.75630254,0.49563
402,412,pop_13_op_m2_n18_251224_173322,pop_13_op_m2_n9_251224_173322,0.5714286,0.24348998
1761,2485,pop_12_op_e2_n17_251224_231546,pop_3_op_e2_n10_251224_201332,0.5496183,1.4999499
1209,3533,pop_6_op_e1_n13_251224_153915,pop_15_op_m2_n6_251225_065356,0.80733943,0.35255
1351,4267,pop_8_op_e1_n16_251224_160509,pop_7_op_m1_n14_251225_041334,0.8141593,0.0978
738,2679,pop_18_op_e2_n15_251224_185247,pop_5_op_m2_n19_251224_205730,0.77272725,0.011070002
136,980,pop_10_op_e2_n2_251224_163729,pop_2_op_e2_n7_251224_141407,0.8181818,0.87011003
1323,1544,pop_7_op_m1_n16_251224_155944,pop_0_op_i1_n3_251224_192433,0.7802198,1.48425
469,1941,pop_14_op_m2_n11_251224_174931,pop_14_op_m2_n11_251225_001033,0.8101266,0.82714
2860,4368,pop_8_op_e2_n15_251224_214932,pop_8_op_m2_n6_251225_043752,0.74603176,0.46031
953,2332,pop_2_op_e1_n19_251224_141021,pop_1_op_e1_n1_251224_194128,0.7982456,1.17678
1229,2478,pop_6_op_e2_n16_251224_154252,pop_3_op_e1_n2_251224_200916,0.8333333,0.15504
1815,4032,pop_13_op_e1_n15_251224_233156,pop_4_op_e2_n10_251225_031500,0.754717,1.45558
1925,4412,pop_14_op_m1_n15_251225_000514,pop_9_op_m1_n16_251225_045306,0.76296294,0.001819998
1383,3793,pop_8_op_m1_n16_251224_161205,pop_19_op_m1_n9_251225_080316,0.8181818,0.46051002
154,1668,pop_10_op_m1_n2_251224_164130,pop_10_op_m2_n6_251224_224258,0.82550335,0.00091000274
1039,3556,pop_3_op_e2_n12_251224_142734,pop_16_op_e2_n0_251225_070340,0.85087717,0.46533
2348,3652,pop_1_op_e2_n18_251224_194452,pop_17_op_m2_n15_251225_072844,0.75384617,0.10937
259,752,pop_11_op_m2_n9_251224_170039,pop_18_op_m1_n10_251224_185705,0.46666667,0.0024099946
3066,3803,pop_0_op_m1_n3_251225_021752,pop_19_op_m2_n18_251225_080724,0.84070796,0.028270002
1250,3314,pop_6_op_m1_n1_251224_154608,pop_13_op_e1_n14_251225_055930,0.8602941,0.007849999
1110,4078,pop_4_op_e1_n9_251224_143708,pop_4_op_m2_n18_251225_032359,0.82051283,0.08985
1305,2475,pop_7_op_e2_n17_251224_155616,pop_3_op_e1_n18_251224_200916,0.82568806,0.08915
