i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
1383,1629,pop_8_op_m1_n16_251224_161205,pop_10_op_e2_n6_251224_223125,0.03356713,1.46232
3339,4300,pop_13_op_e2_n2_251225_060450,pop_8_op_e1_n0_251225_042246,0.014677759,0.47741
1826,3915,pop_13_op_e2_n0_251224_233730,pop_2_op_m1_n11_251225_024720,0.05518542,0.56525004
1448,3227,pop_9_op_e2_n8_251224_162247,pop_11_op_m2_n1_251225_053606,0.019299274,0.7547
4014,4025,pop_3_op_m2_n7_251225_030636,pop_4_op_e1_n3_251225_031040,0.016911095,0.75259
491,1646,pop_15_op_e1_n15_251224_175346,pop_10_op_m1_n4_251224_223726,0.009536487,1.38675
339,2920,pop_13_op_e1_n11_251224_172042,pop_9_op_e1_n1_251224_220604,0.008677553,1.2254801
2087,4442,pop_16_op_m2_n13_251225_005606,pop_9_op_m2_n7_251225_045729,0.0060522966,0.4767
2381,3536,pop_1_op_m2_n12_251224_195142,pop_15_op_m2_n9_251225_065356,0.054806292,0.026870001
842,4186,pop_19_op_m1_n4_251224_191406,pop_6_op_e2_n3_251225_034959,0.0036435479,0.1807
1548,2057,pop_0_op_i1_n5_251224_192433,pop_16_op_e2_n1_251225_004450,0.052657343,0.71376
577,3985,pop_16_op_e1_n8_251224_181432,pop_3_op_m1_n16_251225_030303,0.009141388,0.28343
3051,4172,pop_0_op_i1_n8_251225_020644,pop_6_op_e1_n7_251225_034519,0.104050204,0.18481994
2114,2766,pop_17_op_e1_n3_251225_010046,pop_7_op_e1_n12_251224_212213,0.017998004,0.03914
1467,3131,pop_9_op_m2_n10_251224_162951,pop_10_op_m1_n19_251225_051224,0.035499204,0.84545
1008,2323,pop_2_op_m2_n17_251224_142037,pop_1_op_e1_n0_251224_194128,0.00867359,0.59181
1408,2509,pop_8_op_m2_n4_251224_161520,pop_3_op_m1_n16_251224_201815,0.014979949,0.48073
2383,2977,pop_1_op_m2_n15_251224_195142,pop_9_op_m2_n3_251224_222110,0.019783968,0.27608
4179,4278,pop_6_op_e2_n14_251225_034959,pop_7_op_m1_n8_251225_041334,0.0042971973,0.42902
66,1943,pop_0_op_i1_n9_251224_134528,pop_14_op_m2_n13_251225_001033,0.053058423,0.0076400023
714,911,pop_18_op_e1_n0_251224_184830,pop_1_op_m1_n15_251224_140446,0.009807918,0.00090000033
2220,3701,pop_18_op_m1_n4_251225_013420,pop_18_op_e2_n9_251225_073846,0.02991559,0.28524
1508,2799,pop_0_op_e2_n13_251224_193258,pop_7_op_m1_n11_251224_213407,0.035815485,1.49019
2772,3112,pop_7_op_e1_n19_251224_212213,pop_10_op_e2_n16_251225_050712,0.010047126,0.29540002
432,1602,pop_14_op_e2_n12_251224_174130,pop_10_op_e1_n16_251224_222545,0.027823385,0.0051299985
1388,2927,pop_8_op_m1_n2_251224_161205,pop_9_op_e1_n9_251224_220604,0.021814834,0.004830003
472,3413,pop_14_op_m2_n14_251224_174931,pop_14_op_e2_n2_251225_062408,0.0065080314,0.27025
1476,3699,pop_9_op_m2_n19_251224_162951,pop_18_op_e2_n7_251225_073846,0.014655417,0.55316997
1934,3079,pop_14_op_m1_n5_251225_000514,pop_0_op_m2_n18_251225_022052,0.07861085,0.028979998
2094,3577,pop_16_op_m2_n1_251225_005606,pop_16_op_m1_n12_251225_070858,0.012081892,1.48003
