pair_idx,heuristic_id_1,heuristic_id_2,raw_app_type,task_name,d_codebleu,d_ngram,d_weighted_ngram,d_syntax,d_dataflow,cb_d_perf
6779,pop_4_op_m2_n2_251224_152807,pop_11_op_m2_n3_251224_170039,bin_greedy,BinPacking,0.7264788358978493,0.904301839510672,0.8928039802712019,0.6266666666666667,0.4821428571428571,0.023450000000000002
6780,pop_4_op_m2_n2_251224_152807,pop_5_op_e1_n1_251224_204312,bin_greedy,BinPacking,0.741882036786768,0.9043063030151504,0.8884743693844468,0.6111111111111112,0.5636363636363637,0.009049999999999999
6781,pop_4_op_m2_n2_251224_152807,pop_7_op_e2_n7_251224_212721,bin_greedy,BinPacking,0.7412722244796892,0.913211627375788,0.8852106038763021,0.5666666666666667,0.6,0.0075400000000000016
6782,pop_4_op_m2_n2_251224_152807,pop_14_op_e2_n13_251225_062408,bin_greedy,BinPacking,0.7770028219872149,0.9425576870630469,0.9225964580286701,0.725,0.5178571428571428,0.017410000000000002
6783,pop_4_op_m2_n2_251224_152807,pop_19_op_m2_n16_251224_191815,bin_greedy,BinPacking,0.7361699364341256,0.8986269000839033,0.8887315594447862,0.647887323943662,0.5094339622641509,0.023850000000000003
6784,pop_4_op_m2_n2_251224_152807,pop_15_op_e2_n17_251224_175832,bin_greedy,BinPacking,0.7129372023352046,0.8986847746722064,0.8910380325017649,0.619718309859155,0.4423076923076923,0.023850000000000003
6785,pop_4_op_m2_n2_251224_152807,pop_1_op_m2_n16_251224_195142,bin_greedy,BinPacking,0.6800058305651687,0.8490247319136882,0.8441443703981377,0.6739130434782609,0.3529411764705882,0.006029999999999997
6786,pop_4_op_m2_n2_251224_152807,pop_19_op_m2_n12_251225_080724,bin_greedy,BinPacking,0.7559616351782239,0.9194957640552341,0.900211737075584,0.6962025316455696,0.5079365079365079,0.03722
6787,pop_4_op_m2_n2_251224_152807,pop_2_op_e1_n18_251224_195501,bin_greedy,BinPacking,0.7248891884669884,0.9208106604627465,0.9125825713926281,0.6133333333333333,0.4528301886792453,1.4845499999999998
6788,pop_4_op_m2_n2_251224_152807,pop_14_op_m2_n11_251225_063404,bin_greedy,BinPacking,0.7416774141750782,0.9323645954274135,0.9192656961935339,0.6984126984126984,0.41666666666666663,0.023450000000000002
6789,pop_4_op_m2_n2_251224_152807,pop_7_op_e1_n6_251224_155243,bin_greedy,BinPacking,0.41421450781618496,0.4652720491051796,0.42842808742271776,0.39473684210526316,0.368421052631579,0.0011000000000000003
6790,pop_4_op_m2_n2_251224_152807,pop_13_op_m1_n3_251225_060954,bin_greedy,BinPacking,0.7696912229350001,0.9474113816165863,0.9300561675831335,0.6419753086419753,0.5593220338983051,0.02324
6791,pop_4_op_m2_n2_251224_152807,pop_0_op_e2_n4_251224_134950,bin_greedy,BinPacking,0.6562503944947611,0.8935248836698267,0.8862385990711225,0.4642857142857143,0.38095238095238093,1.4845499999999998
6792,pop_4_op_m2_n2_251224_152807,pop_6_op_m2_n12_251224_211737,bin_greedy,BinPacking,0.7218124187835785,0.9082626579065972,0.8909652386433246,0.6052631578947368,0.48275862068965514,0.01761
6793,pop_4_op_m2_n2_251224_152807,pop_13_op_m2_n15_251224_173322,bin_greedy,BinPacking,0.6818362038944087,0.9061656514529718,0.8919483948938937,0.5692307692307692,0.36,0.02334
6794,pop_4_op_m2_n2_251224_152807,pop_17_op_m1_n15_251225_011255,bin_greedy,BinPacking,0.7280428604470628,0.9171408052825709,0.9012806365056801,0.65625,0.4375,0.006540000000000001
6795,pop_4_op_m2_n2_251224_152807,pop_16_op_m2_n14_251224_182728,bin_greedy,BinPacking,0.73063352099878,0.9062610335024407,0.8936508672910406,0.6716417910447761,0.4509803921568627,0.02495
6796,pop_4_op_m2_n2_251224_152807,pop_8_op_m2_n6_251225_043752,bin_greedy,BinPacking,0.7411535988155091,0.9017547544703168,0.896373154305233,0.6799999999999999,0.4864864864864865,0.009049999999999999
6797,pop_4_op_m2_n2_251224_152807,pop_7_op_m2_n19_251224_213900,bin_greedy,BinPacking,0.7341527234160555,0.917770155665796,0.9032289236524346,0.5822784810126582,0.5333333333333333,0.02314
6798,pop_4_op_m2_n2_251224_152807,pop_9_op_e2_n6_251224_162247,bin_greedy,BinPacking,0.44219942253235067,0.5707262668171831,0.4990747677938251,0.3913043478260869,0.3076923076923077,0.10132000000000001
6799,pop_4_op_m2_n2_251224_152807,pop_17_op_e2_n7_251225_072127,bin_greedy,BinPacking,0.7675273822535349,0.9207842475837927,0.9012648486006203,0.6835443037974683,0.564516129032258,0.9872200000000001
6800,pop_4_op_m2_n2_251224_152807,pop_6_op_m2_n15_251225_035854,bin_greedy,BinPacking,0.7477418880299478,0.9412884274042601,0.9053789804153868,0.4949494949494949,0.6493506493506493,0.012480000000000002
6801,pop_4_op_m2_n2_251224_152807,pop_19_op_m1_n3_251225_080316,bin_greedy,BinPacking,0.7579046108756067,0.9080176755765083,0.893442037767188,0.7301587301587302,0.5,0.003919999999999996
6802,pop_4_op_m2_n2_251224_152807,pop_15_op_m1_n12_251225_064917,bin_greedy,BinPacking,0.7266572986212688,0.9226082096290775,0.9080331429107089,0.7142857142857143,0.36170212765957444,0.02314
6803,pop_4_op_m2_n2_251224_152807,pop_2_op_e1_n19_251224_195501,bin_greedy,BinPacking,0.6903828952573356,0.8714007706292903,0.8619445358902481,0.6323529411764706,0.39583333333333337,1.4845499999999998
6804,pop_4_op_m2_n2_251224_152807,pop_16_op_m1_n10_251225_070858,bin_greedy,BinPacking,0.7670632522330113,0.9284495153087642,0.9050687588885462,0.7162162162162162,0.5185185185185186,0.02355
6805,pop_4_op_m2_n2_251224_152807,pop_10_op_m2_n5_251224_224258,bin_greedy,BinPacking,0.7420090547948665,0.9257248141480663,0.9034036709744118,0.5568181818181819,0.582089552238806,0.024650000000000002
6806,pop_4_op_m2_n2_251224_152807,pop_5_op_e1_n11_251225_032818,bin_greedy,BinPacking,0.7388197035286397,0.9462172447802687,0.923831545121215,0.5428571428571429,0.5423728813559322,0.011469999999999998
6807,pop_4_op_m2_n2_251224_152807,pop_17_op_e1_n2_251225_010046,bin_greedy,BinPacking,0.7005132005493963,0.9225581854385423,0.9119585457268564,0.5147058823529411,0.4528301886792453,1.4845499999999998
6808,pop_4_op_m2_n2_251224_152807,pop_1_op_e2_n16_251224_194452,bin_greedy,BinPacking,0.7050540926900816,0.9082298504499602,0.9040883193450305,0.5660377358490566,0.4418604651162791,1.4845499999999998
6809,pop_4_op_m2_n2_251224_152807,pop_5_op_m1_n15_251224_153229,bin_greedy,BinPacking,0.48915743264609357,0.6005941507205381,0.5722260560543124,0.42666666666666664,0.3571428571428571,0.10132000000000001
6810,pop_4_op_m2_n2_251224_152807,pop_0_op_e2_n1_251224_134950,bin_greedy,BinPacking,0.6706693099060762,0.8318903964922335,0.8096103725438362,0.6,0.4411764705882353,1.42821
6811,pop_4_op_m2_n2_251224_152807,pop_19_op_e2_n7_251225_015005,bin_greedy,BinPacking,0.7114381030101422,0.919721870893968,0.9067103264775488,0.5116279069767442,0.5076923076923077,1.4845499999999998
6812,pop_4_op_m2_n2_251224_152807,pop_18_op_m2_n19_251224_190103,bin_greedy,BinPacking,0.7696095305289893,0.9151520767268633,0.8935804423501574,0.654320987654321,0.6153846153846154,0.02445
6813,pop_4_op_m2_n2_251224_152807,pop_12_op_m1_n3_251224_171244,bin_greedy,BinPacking,0.7167121152878333,0.9071919603652602,0.8950411161706887,0.5846153846153845,0.48,0.023950000000000003
6814,pop_4_op_m2_n2_251224_152807,pop_18_op_m1_n6_251224_185705,bin_greedy,BinPacking,0.7140609054107788,0.8951624764420058,0.8856327840384625,0.6060606060606061,0.4693877551020408,0.02304
6815,pop_4_op_m2_n2_251224_152807,pop_15_op_e1_n16_251225_001559,bin_greedy,BinPacking,0.7701308822247487,0.9350467944165217,0.9027545443918616,0.5614035087719298,0.6813186813186813,0.014279999999999998
6816,pop_4_op_m2_n2_251224_152807,pop_0_op_i1_n10_251225_020904,bin_greedy,BinPacking,0.6197245329062963,0.8777594982878119,0.7653543196118828,0.5416666666666667,0.2941176470588235,0.009049999999999999
6817,pop_4_op_m2_n2_251224_152807,pop_11_op_m2_n0_251224_170039,bin_greedy,BinPacking,0.7323200535051378,0.9030670415588737,0.8919176734401512,0.6164383561643836,0.5178571428571428,0.023850000000000003
6818,pop_4_op_m2_n2_251224_152807,pop_3_op_e2_n10_251224_201332,bin_greedy,BinPacking,0.745686331398438,0.9009222896261084,0.8875271357893902,0.5882352941176471,0.6060606060606061,1.4845499999999998
6819,pop_4_op_m2_n2_251224_152807,pop_13_op_m1_n12_251224_172917,bin_greedy,BinPacking,0.7017337871251164,0.898419201685691,0.8903055857472703,0.5692307692307692,0.44897959183673475,0.81557
6820,pop_4_op_m2_n2_251224_152807,pop_8_op_e2_n15_251224_214932,bin_greedy,BinPacking,0.7334361154409526,0.9360173379386172,0.9222325039015558,0.5232558139534884,0.5522388059701493,0.46936
6821,pop_4_op_m2_n2_251224_152807,pop_14_op_m1_n2_251225_000514,bin_greedy,BinPacking,0.7249794044283819,0.9270999414211343,0.9048811683558854,0.56,0.5079365079365079,1.43706
6822,pop_4_op_m2_n2_251224_152807,pop_11_op_e2_n17_251224_165246,bin_greedy,BinPacking,0.7104872702843725,0.901663229810984,0.8958414068820618,0.6666666666666667,0.37777777777777777,0.052320000000000005
